userName,score,content,sentiment,cleaned_text
A Google user,5,This app is good,Positive,app good
A Google user,5,This show this app is a so good and my Japanese is perfect and English,Positive,show app good japanese perfect english
A Google user,1,"I hate this marketing ""cracked/broken"" icon stuff - y'all doing too much and it's annoying af. Deleting this app for THE SECOND AND FINAL TIME. Stop trying to force me to learn, EMPOWER ME YOU IDIOTS!",Negative,hate marketing cracked broken icon stuff much annoying af deleting app second final time stop trying force learn empower idiots
A Google user,5,"Uuweudv r u, Caro, ur, ruq",Positive,uuweudv r u caro ur ruq
A Google user,5,Good,Positive,good
A Google user,5,Nice app and best for learni,Positive,nice app best learni
A Google user,5,I am having so much fun on duolingo it's teaching me math and things and it's so much fun,Positive,much fun duolingo teaching math things much fun
A Google user,5,The game is very good and fun!,Positive,game good fun
A Google user,1,"Don't waste your time or money on this app, the only way to learn now is to pay. YOU HAVE TO PAY FOR HEARTS WHEN YOU COULD PRACTICE TO FILL THEM UP. They don't care about what you have to say, your complaints etc, so saying you don't like something won't matter. Their customer service doesn't exist.",Negative,waste time money app way learn pay pay hearts could practice fill care say complaints etc saying like something matter customer service exist
A Google user,1,Stop telling me to review and stop selling me subscription please,Negative,stop telling review stop selling subscription please
A Google user,1,Why so many ads? :(,Negative,many ads
A Google user,5,This app is so good for children to lern in his favourite language,Positive,app good children lern favourite language
A Google user,5,its awsome,Positive,awsome
A Google user,5,When I was playing duolingo somewhere Glitch happened that said I you,Positive,playing duolingo somewhere glitch happened said
A Google user,3,"was great when it started a few yrs ago. when you paid for it, you had access to everything. Now it's 2 different paying categories. smh",Neutral,great started yrs ago paid access everything 2 different paying categories smh
A Google user,5,Very good This app is so helpful,Positive,good app helpful
A Google user,5,amazing app for learning any language.I like it,Positive,amazing app learning language like
A Google user,5,fun and gets me up and going.,Positive,fun gets going
A Google user,5,It is very easy to follow and very simple to catch up to the exercises.,Positive,easy follow simple catch exercises
A Google user,5,nice Duolingo💗,Positive,nice duolingo
A Google user,4,ভালো,Positive,ভ ল
A Google user,5,Now i learned Filipino. I am half Filipino!,Positive,learned filipino half filipino
A Google user,5,"Beginner friendly imo, Edit: there are a lot of bugs and glitch in Duolingo. I installed this app two times because the audio is missing most of the lessons. After installing again, still missing. I am considering to leave this app now.",Positive,beginner friendly imo edit lot bugs glitch duolingo installed app two times audio missing lessons installing still missing considering leave app
A Google user,5,very fantastic app,Positive,fantastic app
A Google user,5,Best app ....☺️,Positive,best app
A Google user,5,Good now I can go China,Positive,good go china
A Google user,5,Love it!!,Positive,love
A Google user,5,Wow its toooo nice✨✨,Positive,wow toooo nice
A Google user,4,this application is very best for learning English.,Positive,application best learning english
A Google user,5,Nice and fun app easiy to learn any languages,Positive,nice fun app easiy learn languages
A Google user,5,Good app,Positive,good app
A Google user,5,"I love this app,I'm learning korean perfectly and it's cute and funny❤️",Positive,love app learning korean perfectly cute funny
A Google user,5,Я выучил французский и стал напалионом,Positive,я выучил французский и стал напалионом
A Google user,5,awesome 👍 great full best ever excellent,Positive,awesome great full best ever excellent
A Google user,5,so good,Positive,good
A Google user,5,Awesome app,Positive,awesome app
A Google user,5,fun and educational,Positive,fun educational
A Google user,4,Very Helpful,Positive,helpful
A Google user,3,this app is great but too much add after i finish single lesson add come,Neutral,app great much add finish single lesson add come
A Google user,5,asombroso 🥹,Positive,asombroso
A Google user,5,"Amazing app, very educational and informative",Positive,amazing app educational informative
A Google user,5,it's really fun and exciting,Positive,really fun exciting
A Google user,5,good,Positive,good
A Google user,5,this app is very best realy,Positive,app best realy
A Google user,1,Worst app of all time I give gift to Duolingo it is copy right and please remove this,Negative,worst app time give gift duolingo copy right please remove
A Google user,5,very useful. I am very happy 😊,Positive,useful happy
A Google user,5,"great source of language learning, taught me more in one month than my grammar school in five months!",Positive,great source language learning taught one month grammar school five months
A Google user,5,This duoilgo app is very good for me,Positive,duoilgo app good
A Google user,5,W learning app I learned Spanish because of this.. Better than anything.,Positive,w learning app learned spanish better anything
A Google user,5,perfect,Positive,perfect
A Google user,5,verry good,Positive,verry good
A Google user,5,very nice,Positive,nice
A Google user,5,iam really enjoying this,Positive,iam really enjoying
A Google user,4,É um bom app,Positive,é um bom app
A Google user,5,superb,Positive,superb
A Google user,5,I like it because so fun,Positive,like fun
A Google user,5,it a nice way to lear i love it,Positive,nice way lear love
A Google user,5,Duolingo is very nice 🙂 👍,Positive,duolingo nice
A Google user,5,onek valo,Positive,onek valo
A Google user,2,jo chahiye wo nhi mil rha h,Negative,jo chahiye wo nhi mil rha h
A Google user,5,awesome,Positive,awesome
A Google user,5,fun app,Positive,fun app
A Google user,5,ilove it in fact I have learned so many words,Positive,ilove fact learned many words
A Google user,5,Highly recommend. this app will not make you fluent but O have perfected my Orosh grammar and I am learning hundreds of new words and where they are placed in a sentence. it is a very game like form of learning. you can compete against others users. I bought a monthly subscription offer for over €5. Well worth it.,Positive,highly recommend app make fluent perfected orosh grammar learning hundreds new words placed sentence game like form learning compete others users bought monthly subscription offer 5 well worth
A Google user,5,very good,Positive,good
A Google user,5,it does really help me learn french 🇨🇵✨😗😀✌️✨✨,Positive,really help learn french
A Google user,4,I love this app but I wish the refill heart was 200 instead of 450,Positive,love app wish refill heart 200 instead 450
A Google user,5,"Great Ap, easy to use and easy learning.",Positive,great ap easy use easy learning
A Google user,5,"the best learning app I ever seen , because it has a speed data and no ads can be seen",Positive,best learning app ever seen speed data ads seen
A Google user,5,Duolingo is the best,Positive,duolingo best
A Google user,4,Good for well up english language,Positive,good well english language
A Google user,5,Duolingo forced me to give him a five stars rating,Positive,duolingo forced give five stars rating
A Google user,5,👌🏻,Positive,
A Google user,5,absolutely love it!!! great app,Positive,absolutely love great app
A Google user,5,Love this one App,Positive,love one app
A Google user,5,Dont let the green bird kill you,Positive,dont let green bird kill
A Google user,5,The best. Please be free all the time 🥹🤍,Positive,best please free time
A Google user,5,this game so so good because he is my studyer partner perfectly❤️❤️❤️❤️❤️😚😁😊😊😊,Positive,game good studyer partner perfectly
A Google user,5,lovely,Positive,lovely
A Google user,3,"They've been focusing more on the dopamine provoking side than actually learning something. It's not a bad experience, but not sustainable in the long run. Learning languages by using them is still the best thing you can do.",Neutral,focusing dopamine provoking side actually learning something bad experience sustainable long run learning languages using still best thing
A Google user,5,very nice,Positive,nice
A Google user,5,nice sentence,Positive,nice sentence
A Google user,5,Great way of developing language skills wish it existed when I was at school.,Positive,great way developing language skills wish existed school
A Google user,5,nagostuhan ko ito nakakatulong sa pag aaral ko at Minsan perfect Ako sa exam at tonuring ko na ding kaibigan salamat nalang sa game na ito nakakatulong ito kaya five star,Positive,nagostuhan ko ito nakakatulong sa pag aaral ko minsan perfect ako sa exam tonuring ko na ding kaibigan salamat nalang sa game na ito nakakatulong ito kaya five star
A Google user,4,"i learned a lot from it, it is really effective cause when i watch k-dramas i used to change the subtitle to English, now i removed the subtitle and understands every single detail they say.",Positive,learned lot really effective cause watch k dramas used change subtitle english removed subtitle understands every single detail say
A Google user,5,It is a very nice app to learn a language. I found it very much helpful ☺️,Positive,nice app learn language found much helpful
A Google user,5,I learned Spanish and thank you for making this app,Positive,learned spanish thank making app
A Google user,2,offline please 🥺,Negative,offline please
A Google user,5,this is a very nice app you can learn every language,Positive,nice app learn every language
A Google user,5,It really helps me learn Korea thanks Duo!,Positive,really helps learn korea thanks duo
A Google user,5,"I've download it few years ago, deleted it since... It's... *Turn around* duolingo-? What were you doing here? ARGHHHHH HELPP",Positive,download years ago deleted since turn around duolingo arghhhhh helpp
A Google user,5,woooow,Positive,woooow
A Google user,5,i have no word to write something this app is supper guys supper,Positive,word write something app supper guys supper
A Google user,5,It is great but bird is cray,Positive,great bird cray
A Google user,5,ok,Positive,ok
A Google user,5,It's very good app for learning english..you also download this because you learn new words..,Positive,good app learning english also download learn new words
A Google user,5,good,Positive,good
A Google user,5,Good 👍 Such wonderful please more Life to learn,Positive,good wonderful please life learn
A Google user,5,super,Positive,super
A Google user,5,Very good app,Positive,good app
A Google user,5,This app is genuinely lovely and very supportive..!,Positive,app genuinely lovely supportive
A Google user,5,It is a very good app for teaching your student English 😀,Positive,good app teaching student english
A Google user,5,I love it so much it's the best app ever!!!!,Positive,love much best app ever
A Google user,4,Very good,Positive,good
A Google user,5,very very good 👍 and thank you so much❤😊,Positive,good thank much
A Google user,5,this app is best 😎 for my English😊,Positive,app best english
A Google user,5,this app was very learn English and other language,Positive,app learn english language
A Google user,5,Good at spelling and writing so you can understand,Positive,good spelling writing understand
A Google user,1,No Tagalog :(,Negative,tagalog
A Google user,5,good 👍,Positive,good
A Google user,5,you are so good my Duolingo,Positive,good duolingo
A Google user,1,Wants to use duolingo but urdu language is not available,Negative,wants use duolingo urdu language available
A Google user,5,this is so good app for English learning and for basic English so good 👍👍👍 I have also that she made ko English kahan se milegi YouTube mein iska add aane Laga matlab mobile hamari baten sun ti hai matlab saaf hai ki mobile hamari baat sunta Hai,Positive,good app english learning basic english good also made ko english kahan se milegi youtube mein iska add aane laga matlab mobile hamari baten sun ti hai matlab saaf hai ki mobile hamari baat sunta hai
A Google user,5,dual language the best guys don't know that this is the best,Positive,dual language best guys know best
A Google user,5,easy and fun way to learn,Positive,easy fun way learn
A Google user,5,THIS APP IS NICE AND USEFUL FOR KIDS,Positive,app nice useful kids
A Google user,4,good app,Positive,good app
A Google user,5,nice 🙂👍,Positive,nice
A Google user,3,"App is awesome itself, BUT why there is no album orientation for tablet? Absolutly uncomfortable to study on tablet",Neutral,app awesome album orientation tablet absolutly uncomfortable study tablet
A Google user,5,nice,Positive,nice
A Google user,5,the best language learning app :),Positive,best language learning app
A Google user,1,Abe Duolingo mar gaya,Negative,abe duolingo mar gaya
A Google user,5,It was fun and useful,Positive,fun useful
A Google user,4,its good for me because its helps me and I can talk in Polish to my family,Positive,good helps talk polish family
A Google user,5,👍 good,Positive,good
A Google user,5,I'm learning a lot!,Positive,learning lot
A Google user,5,Honestly a fun and engaging app. Really fun to learn and the lil owl checking up on me really adds the fun in this.,Positive,honestly fun engaging app really fun learn lil owl checking really adds fun
A Google user,5,op app,Positive,op app
A Google user,5,very good app for learning languages,Positive,good app learning languages
A Google user,5,This is a very good software for learning English. I am trying to learn English from Bangladesh with this.,Positive,good software learning english trying learn english bangladesh
A Google user,1,It’s good but so boring 😁😁,Negative,good boring
A Google user,5,amazing app,Positive,amazing app
A Google user,5,It's an amazing app . l like it very much 😘😉,Positive,amazing app l like much
A Google user,5,"it is a good app for studying and practicing the skills of spoken English, Hindi, Japanese, Chinese, Germany, anything so I want to rate it 5 star!!!!!",Positive,good app studying practicing skills spoken english hindi japanese chinese germany anything want rate 5 star
A Google user,5,Anup Kumar Duolingo is beautiful game,Positive,anup kumar duolingo beautiful game
A Google user,3,Overall the apps good but I want to learn persian and it's not available 😐,Neutral,overall apps good want learn persian available
A Google user,5,very very useful app,Positive,useful app
A Google user,4,"It is good,but it doesn't teach us the whole,it only teaches some words",Positive,good teach us whole teaches words
A Google user,5,i can't open it,Positive,open
A Google user,5,Best & Best Duo 💗 You Are A Real Teacher For Me 🥹,Positive,best best duo real teacher
A Google user,1,It gave me a way to achieve my goal language,Negative,gave way achieve goal language
A Google user,4,I love this app but the only problem is it do not have Persian language,Positive,love app problem persian language
A Google user,5,"For those that want to learn a foreign language, this is the app to use. You won't regret it.",Positive,want learn foreign language app use regret
A Google user,5,so good love this app 💖,Positive,good love app
A Google user,4,just try,Positive,try
A Google user,5,மாஸா அல்லாஹ்,Positive,ம ஸ அல ல ஹ
A Google user,5,The most useful apps ~ the best ~ !,Positive,useful apps best
